Peak CCU,Price (USD),Review Ratio,Web Exposure,,Price (USD),Peak CCU,,,Review Ratio,Peak CCU,,,Web Exposure,Peak CCU,,,,Peak CCU
562,19.99,11.84070796460177,4.789272030651341,,19.99,562,,,11.84070796,562,,,4.789272031,562,,,,562
,,,,,,,,,,,,,,,,,,
560,0,7.0537240537240535,25.049808429118773,,0,560,,,7.053724054,560,,,25.04980843,560,,,,560
,,,,,,,,,,,,,,,,,,
428,19.99,8.871903323,7.884615384615385,,19.99,428,,,8.871903323,428,,,7.884615385,428,,,,428
,,,,,,,,,,,,,,,,,,
161,0,1.8681318681318682,0.49504950495049505,,0,161,,,1.868131868,161,,,0.495049505,161,,,,161
,,,,,,,,,,,,,,,,,,
967,19.99,2.267656545434323,0,,19.99,967,,,2.267656545,967,,,0.00,967,,,,967
,,,,,,,,,,,,,,,,,,
102,49.99,8.243781094527364,8.809782608695652,,49.99,102,,,8.243781095,102,,,8.809782609,102,,,,102
,,,,,,,,,,,,,,,,,,
133,9.99,25.25402504472272,0.6363636363636364,,9.99,133,,,25.25402504,133,,,0.636363636,133,,,,133
,,,,,,,,,,,,,,,,,,
1112,39.99,1.7090459287942348,15.725118483412322,,39.99,1112,,,1.709045929,1112,,,15.72511848,1112,,,,1112
,,,,,,,,,,,,,,,,,,
303,39.99,7.268614515,1.2183908045977012,,39.99,303,,,7.268614515,303,,,1.218390805,303,,,,303
,,,,,,,,,,,,,,,,,,
108,19.99,3.9026548672566372,4.111111111111111,,19.99,108,,,3.902654867,108,,,4.111111111,108,,,,108
,,,,,,,,,,,,,,,,,,
152,7.99,14.304666056724612,14.39463601532567,,7.99,152,,,14.30466606,152,,,14.39463602,152,,,,152
,,,,,,,,,,,,,,,,,,
1647,0,4.641386175573944,3.6206896551724137,,0,1647,,,4.641386176,1647,,,3.620689655,1647,,,,1647
,,,,,,,,,,,,,,,,,,
134,24.99,2.7140077821011674,3.8461538461538463,,24.99,134,,,2.714007782,134,,,3.846153846,134,,,,134
,,,,,,,,,,,,,,,,,,
122,19.99,13.056,0.7088122605363985,,19.99,122,,,13.056,122,,,0.708812261,122,,,,122
,,,,,,,,,,,,,,,,,,
118,39.99,5.644376899696049,1.0383141762452108,,39.99,118,,,5.6443769,118,,,1.038314176,118,,,,118
,,,,,,,,,,,,,,,,,,
968,24.99,9.092460881934565,0.7586206896551724,,24.99,968,,,9.092460882,968,,,0.75862069,968,,,,968
,,,,,,,,,,,,,,,,,,
170,19.79,5.1874213836477985,4.923371647509579,,19.79,170,,,5.187421384,170,,,4.923371648,170,,,,170
,,,,,,,,,,,,,,,,,,
651,24.99,21.04950495049505,9.485507246376812,,24.99,651,,,21.04950495,651,,,9.485507246,651,,,,651
,,,,,,,,,,,,,,,,,,
208,5.99,3.4766260162601625,0.48148148148148145,,5.99,208,,,3.476626016,208,,,0.481481481,208,,,,208
,,,,,,,,,,,,,,,,,,
161,24.99,13.76923076923077,2.1379310344827585,,24.99,161,,,13.76923077,161,,,2.137931034,161,,,,161
,,,,,,,,,,,,,,,,,,
228,0,1.4168356997971603,7.073529411764706,,0,228,,,1.4168357,228,,,7.073529412,228,,,,228
,,,,,,,,,,,,,,,,,,
446,59.99,5.199266503667482,2.078602620087336,,59.99,446,,,5.199266504,446,,,2.07860262,446,,,,446
,,,,,,,,,,,,,,,,,,
1472,24.99,10.310462287104622,2.2337662337662336,,24.99,1472,,,10.31046229,1472,,,2.233766234,1472,,,,1472
,,,,,,,,,,,,,,,,,,
136,9.99,8.807106598984772,0.2692307692307692,,9.99,136,,,8.807106599,136,,,0.269230769,136,,,,136
,,,,,,,,,,,,,,,,,,
133,4.99,10.03448275862069,1.1773399014778325,,4.99,133,,,10.03448276,133,,,1.177339901,133,,,,133
,,,,,,,,,,,,,,,,,,
235,39.99,15.64765100671141,0.5769230769230769,,39.99,235,,,15.64765101,235,,,0.576923077,235,,,,235
,,,,,,,,,,,,,,,,,,
1370,39.99,8.033474685170907,3.1646341463414633,,39.99,1370,,,8.033474685,1370,,,3.164634146,1370,,,,1370
,,,,,,,,,,,,,,,,,,
1352,24.99,9.041112455,6.5,,24.99,1352,,,9.041112455,1352,,,6.50,1352,,,,1352
,,,,,,,,,,,,,,,,,,
187,29.99,8.618729096989966,26.911877394636015,,29.99,187,,,8.618729097,187,,,26.91187739,187,,,,187
,,,,,,,,,,,,,,,,,,
272,14.99,5.51375,24.41269841269841,,14.99,272,,,5.51375,272,,,24.41269841,272,,,,272
,,,,,,,,,,,,,,,,,,
268,39.99,3.0914285714285716,2.3333333333333335,,39.99,268,,,3.091428571,268,,,2.333333333,268,,,,268
,,,,,,,,,,,,,,,,,,
332,19.99,21.067423704755146,0.42911877394636017,,19.99,332,,,21.0674237,332,,,0.429118774,332,,,,332
,,,,,,,,,,,,,,,,,,
256,14.99,15.44536271808999,22.057471264367816,,14.99,256,,,15.44536272,256,,,22.05747126,256,,,,256
,,,,,,,,,,,,,,,,,,
1063,9.99,3.945015105740181,8.277372262773723,,9.99,1063,,,3.945015106,1063,,,8.277372263,1063,,,,1063
,,,,,,,,,,,,,,,,,,
245,4.99,18.756756756756758,1.3448275862068966,,4.99,245,,,18.75675676,245,,,1.344827586,245,,,,245
,,,,,,,,,,,,,,,,,,
1369,0,13.530451866404714,2.2203389830508473,,0,1369,,,13.53045187,1369,,,2.220338983,1369,,,,1369
,,,,,,,,,,,,,,,,,,
2143,19.99,14.14738646101114,2.789272030651341,,19.99,2143,,,14.14738646,2143,,,2.789272031,2143,,,,2143
,,,,,,,,,,,,,,,,,,
303,49.99,10.638539042821158,0.8571428571428571,,49.99,303,,,10.63853904,303,,,0.857142857,303,,,,303
,,,,,,,,,,,,,,,,,,
109,3.99,2.5155642023346303,0.8773946360153256,,3.99,109,,,2.515564202,109,,,0.877394636,109,,,,109
,,,,,,,,,,,,,,,,,,
1139,0,2.4022485946283574,1.4700854700854702,,0,1139,,,2.402248595,1139,,,1.47008547,1139,,,,1139
,,,,,,,,,,,,,,,,,,
216,0,4.414253897550111,0.6535947712418301,,0,216,,,4.414253898,216,,,0.653594771,216,,,,216
,,,,,,,,,,,,,,,,,,
380,24.99,28.07547169811321,2.9157088122605366,,24.99,380,,,28.0754717,380,,,2.915708812,380,,,,380
,,,,,,,,,,,,,,,,,,
115,19.99,5.352941176470588,0.3153846153846154,,19.99,115,,,5.352941176,115,,,0.315384615,115,,,,115
,,,,,,,,,,,,,,,,,,
1159,0,9.426229508196721,8.988505747126437,,0,1159,,,9.426229508,1159,,,8.988505747,1159,,,,1159
,,,,,,,,,,,,,,,,,,
225,17.99,6.261437908496732,0.735632184,,17.99,225,,,6.261437908,225,,,0.74,225,,,,225
,,,,,,,,,,,,,,,,,,
776,24.99,15.425339366515837,2.0539419087136928,,24.99,776,,,15.42533937,776,,,2.053941909,776,,,,776
,,,,,,,,,,,,,,,,,,
1391,0,4.348908678974405,4.666666666666667,,0,1391,,,4.348908679,1391,,,4.666666667,1391,,,,1391
,,,,,,,,,,,,,,,,,,
353,59.99,19.476377952755904,12.118773946360154,,59.99,353,,,19.47637795,353,,,12.11877395,353,,,,353
